partner,Date,Casey,Casey,CML,CML,IDC,IDC,Jason,Jason,Ken,Ken,LAN MLN,LAN MLN,Patterson,Patterson,Phil,Phil,Travis,Travis
ownership,,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS,OIL,GAS
1853,2011-04-01,0.0,0.0,3.7453566600000006,4.381955679999999,70.6229754,93.71160802,0.00385262,0.0,264.46669733,387.77418883,28.30291355,19.63512546,255.60896111,380.51396032,35.298417220000005,47.39234115,0.0,0.0
1854,2011-04-02,0.0,0.0,5.014903639999998,4.56559681,92.42266193999998,97.44536948999999,0.00385262,0.0,341.79664070999996,404.53127780000005,28.12714848,17.39322559,298.61891536999997,390.75479257,48.13151509,49.61627981000001,0.0,0.0
1855,2011-04-03,0.0,0.0,3.7391878599999995,4.58655196,68.87672417,96.80403553999999,0.0,0.0,240.19686805,393.31584799,35.27798719,26.23930494,249.42064201000002,391.26915615,36.399978149999995,50.66334487,0.0,0.0
1856,2011-04-04,0.0,0.0,4.055089140000001,4.5988526,78.22772196,96.87803489999999,0.0,0.0,296.69037462999995,402.0795764200001,31.02940764,23.74316832,289.75633029,393.9976784,38.554052860000006,49.5124023,0.0,0.0
1857,2011-04-05,0.0,0.0,3.1691242499999994,4.23441127,62.01133532,89.11399358,0.0,0.0,241.99997426,370.39839448000004,17.59254965,24.23189486,215.56467898,359.80829563,30.36749284,45.264127339999995,0.0,0.0
1858,2011-04-06,0.0,0.0,4.30756913,3.9922925099999995,83.56830505000003,84.97487075,0.0,0.0,320.53393686000004,360.70818313999996,25.79267795,8.184739769999998,297.35415435000004,343.49919854999996,41.38864102000001,42.25002319000001,0.0,0.0
1859,2011-04-07,0.0,0.0,4.911024009999999,3.98634847,94.53565338,86.80215825999998,0.0,0.0,350.2890085199999,375.94888569000005,28.112924469999996,8.34871566,315.49276846000004,349.65319178,46.97185489000001,42.06959689,0.0,0.0
1860,2011-04-08,0.0,0.0,4.955743599999998,4.591128449999999,93.29585767000002,96.61705857999999,0.0,0.0,343.76175076000015,402.29720026999996,36.68873996000001,24.74470817,323.17295622000006,396.97237777000004,47.94386711000001,48.74935051,0.0,0.0
1861,2011-04-09,0.0,0.0,5.523450200000001,3.85750009,100.89678828000001,79.57194159,0.0,0.0,357.08856662999995,326.12238758999996,47.831289119999994,19.23511903,361.31485215000004,320.79482219000005,52.931748150000004,41.35924496,0.0,0.0
1862,2011-04-10,0.0,0.0,5.535821349999999,4.18814915,102.63734235999999,89.86409307999998,0.0,0.0,370.53875014000016,382.79604484000004,53.24537101999999,18.777726180000002,378.5020302999999,367.78614384,54.02708182,44.58849275000001,0.0,0.0
1863,2011-04-11,0.0,0.0,5.005511490000001,3.69237929,94.16435629,81.24173095999998,0.0,0.0,343.6136664,355.32295544,39.22171124999999,14.20536018,326.45394564000003,347.91818517,47.83417107,39.736294959999995,0.0,0.0
1864,2011-04-12,0.0,0.0,6.494283590000001,4.1781161,119.53192586,96.67120904,0.0,0.0,424.4303750600001,416.1807910199999,50.70903184999998,21.87072368,418.20486249000004,409.14623511,63.04035031000001,48.40728142,0.0,0.0
1865,2011-04-13,0.0,0.0,6.053297570000001,5.201435549999999,113.19926301,108.44015796000001,0.0,0.0,408.60324113999997,426.46078562,65.19955678,60.81686537999999,450.04493945,461.79944817,57.32384919,57.084883690000005,0.0,0.0
1866,2011-04-14,0.0,0.0,5.2955045400000005,5.23301544,99.41580808,106.58312094000001,0.0,0.0,355.63747671000004,420.58179921,46.17235251,58.83419529,382.6522736900001,452.44352344,50.57989794999999,54.52517016999999,0.0,0.0
1867,2011-04-15,0.0,0.0,4.938502870000001,5.35179882,94.05533051000002,109.12848149000003,0.0,0.0,359.38358966,435.21828937,29.02299154,56.67500659,329.28702159000005,463.50934314999995,46.941475530000005,56.34316139999999,0.0,0.0
1868,2011-04-16,0.0,0.0,5.0849569400000005,5.7600560100000004,96.28760652,116.75236891000002,0.0,0.0,360.63328224,465.28923164,31.118753489999992,55.407463709999995,342.5614970800001,479.01865517,49.01062741,60.574118659999996,0.0,0.0
1869,2011-04-17,0.0,0.0,6.330419319999999,4.8979604199999995,116.03317474,101.16224581,0.0,0.0,421.58212984,406.0990168,41.22060935,52.85035215,385.6449100700001,438.03323323000006,60.55515748000001,52.256469,0.0,0.0
1870,2011-04-18,0.0,0.0,4.41944474,5.023419350000001,82.84922815000002,101.99082032000001,0.0,0.0,306.17344207000014,407.13315443999994,36.92467657,51.848284340000006,314.55084063,441.89767677000015,42.32307119999999,52.67472642999999,0.0,0.0
1871,2011-04-19,0.0,0.0,3.24079257,5.54800066,65.46412273,118.36092871,0.0,0.0,253.27626132,477.10112737,25.443611520000005,46.41761555000001,252.93066209,494.30662477000004,31.92813553,62.15826863999999,0.0,0.0
1872,2011-04-20,0.0,0.0,5.5641421300000005,5.14217087,102.99026841000001,107.25846959999998,0.0,0.0,379.0608225,432.7014931,53.35762932999999,54.51895583999999,386.73514725000007,465.8421657,54.11645370000001,55.73523883,0.0,0.0
1873,2011-04-21,0.0,0.0,4.92533984,6.31193388,92.92513695999999,126.68403254,0.0,0.0,353.70740409,496.23433836000004,28.66236537,78.96343510000001,324.51087387000007,536.08372645,47.442653629999995,66.77465079000001,0.0,0.0
1874,2011-04-22,0.0,0.0,5.764694049999999,4.797280670000001,107.98850333999998,100.28040381000001,0.0,0.0,406.66227633000005,411.96850148000004,29.517971879999994,44.369060319999996,353.1285170500001,434.50347767999995,56.145667610000004,51.12445759,0.0,0.0
1875,2011-04-23,0.0,0.0,5.926546879999998,3.18690511,112.43287763,72.71560426000002,0.0,0.0,432.69978049,326.93332219999996,32.2378977,8.91436239,368.33586872000006,315.89932292,57.42743066,34.40516435000001,0.0,0.0
1876,2011-04-24,0.0,0.0,5.70834791,4.7388395600000015,104.5431251,97.8829661,0.0,0.0,381.17764487000005,402.70184358000006,29.81487084,32.80910822,321.14074020000015,400.93269725,56.00222011999999,49.640012490000004,0.0,0.0
1877,2011-04-25,0.0,0.0,5.02227167,5.22388997,94.26390377,109.50014853,0.0,0.0,361.22149741999993,447.02286128,24.631549439999997,48.81487687,315.22397691,447.5478818899999,49.83303366999999,56.483016989999996,0.0,0.0
1878,2011-04-26,0.0,0.0,2.9918514399999996,4.57527255,59.55032897000001,100.26726756000001,0.0,0.0,237.04756521999997,416.85336383,28.496678080000002,54.06757467,254.60639060000005,448.43778396,28.862637360000004,50.872152529999994,0.0,0.0
1879,2011-04-27,0.0,0.0,4.93410391,5.1686432,94.02808276,111.10972629,0.0,0.0,364.8872137700001,457.59749631999995,24.112662089999997,51.64712937,311.8426378400001,464.33500698,48.85887791,57.192993740000006,0.0,0.0
1880,2011-04-28,0.0,0.0,5.82522402,5.8927576,110.31586110999997,120.26596622,0.00385262,0.0,422.8015282000001,480.68070740999997,31.81933936,62.127437099999995,370.5877977900001,495.81033767,58.1325473,62.70720933,0.0,0.0
1881,2011-04-29,0.0,0.0,5.1352476000000005,5.694240210000001,98.31479879000001,115.79679269999998,0.00385262,0.0,379.45230553000005,455.06580149999996,37.34288699,72.18537873,367.60383794999996,504.3677378400001,51.422157980000016,60.952056370000015,0.0,0.0
1882,2011-04-30,0.0,0.0,5.436150739999999,6.269107599999999,102.44433916999999,125.66607162999999,0.00385262,0.0,388.96232987,494.88875286,39.21248859999999,64.36051927,373.55325552,500.8486596000001,53.81791479,66.15971193,0.0,0.0
1883,2011-05-01,0.0,0.0,5.698985220000001,6.21772045,105.22815086000001,125.08096771,0.00385262,0.0,390.70912198999997,494.97958567,44.37871948999999,62.379131619999995,377.64707785,508.1787297899999,56.48328393999999,66.08107594,0.0,0.0
1884,2011-05-02,0.0,0.0,4.90860479,5.860748260000001,91.70057394,116.61309549,0.01733679,0.0,352.6294783800001,464.13706989,34.09186299,48.65389392,329.24206191000013,464.60906914000003,47.55738355999999,61.33949716,0.0,0.0
1885,2011-05-03,0.0,0.0,5.6749475600000014,6.101715380000001,107.70246179000002,121.15713341000001,0.00385262,0.0,417.02982976000004,480.45947572,32.057173829999996,52.223829280000004,374.51812442999994,485.4954798,55.196782430000006,62.96092463999999,0.0,0.0
1886,2011-05-04,0.0,0.0,4.996274680000002,5.228732160000001,95.03814257,107.28874909,0.00385262,0.0,369.22830854999995,443.38684840999997,21.323010070000002,33.93895143,316.27057852,423.03824862,48.46228799000001,54.30658093,0.0,0.0
1887,2011-05-05,0.0,0.0,4.451709220000001,5.818825090000001,85.79161604999999,116.67805458000004,0.00385262,0.0,339.4489612100001,467.73064806,20.592175970000003,51.48607962,299.3468187200001,465.53666410999995,43.07997874999999,60.65915632000001,0.0,0.0
1888,2011-05-06,0.0,0.0,5.460822130000001,5.88830612,102.07831702000001,117.6371639,0.00385262,0.0,389.69020056,473.30088447,32.15809408,48.38578744,356.14965126000004,467.62188790000016,53.06326804999999,60.776913130000004,0.0,0.0
1889,2011-05-07,0.0,0.0,5.04703315,4.796662860000001,96.71004331,100.63650768999997,0.00385262,0.0,379.71308257999993,425.21397358999997,27.35402858,23.85040482,340.4452986200001,394.50245661,48.8579758,50.660671750000006,0.0,0.0
1890,2011-05-08,0.0,0.0,4.75713391,3.95774818,89.18003202000001,92.86047799000002,0.00385262,0.0,337.46967049,377.85283439,42.28502129,14.69317899,317.3083193499999,342.89210579,46.20557625,45.94805075,0.0,0.0
1891,2011-05-09,0.0,0.0,4.37609677,3.8891534200000004,88.01578356,86.90463025,0.00385262,0.0,327.0276490200001,368.56749126,46.897878129999995,28.72068707,322.43169976999997,358.36661147999996,45.75603769000001,43.413851220000005,0.0,0.0
1892,2011-05-10,0.0,0.0,3.6157227799999996,4.1658829100000005,73.66196882000001,90.85075816,0.0,0.0,283.77439295000005,390.24763113,36.83486847,30.66796435,281.9145163900001,368.0826214,38.35361210000001,44.85947698,0.0,0.0
